"Id";"Oznaczenie";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"IC1";"DIP-28_W7.62mm";1;"ATMEGA8A-P";;;
2;"C2,C3,C4,C7";"C_Rect_L4_W2.5_P2.5";4;"100n";;;
3;"C5,C6";"C_Rect_L4_W2.5_P2.5";2;"22p";;;
4;"CON1";"BARREL_JACK";1;"BARREL_JACK";;;
5;"CON2";"Pin_Header_Straight_2x03";1;"AVR-ISP-6";;;
6;"D1,D2";"LED-5MM";2;"LED";;;
7;"R1,R2";"Resistor_Horizontal_RM7mm";2;"470";;;
8;"R3";"Resistor_Horizontal_RM7mm";1;"4k7";;;
9;"U2";"TO-92_Molded_Narrow_Oval";1;"APE8865N-33-HF-3";;;
10;"U3";"TO-220_Neutral123_Horizontal_LargePads";1;"LM_7805";;;
11;"Y1";"Crystal_HC50-U_Vertical";1;"16M";;;
12;"P1,P2,P3,P4,P5,P6,P8,P9,P10,P11,P12,P7,P13,P14,P15,P16,P17";"Pin_Header_Straight_1x03";17;"CONN_01X03";;;
13;"P19";"AK300-2";1;"CONN_01X02";;;
14;"C1,C9";"C_Radial_D8_L11.5_P3.5";2;"470u";;;
15;"SW1";"PINHEAD1-3";1;"SPST";;;
16;"SW2";"SW_PUSH_SMALL";1;"SW_PUSH";;;
17;"L1";"Choke_Horizontal_RM10mm";1;"10m";;;
18;"U1";"HC-05";1;"HC-05";;;
19;"P20";"Pin_Header_Straight_2x02";1;"CONN_02X02";;;
20;"P21";"Pin_Header_Straight_1x02";1;"CONN_02X01";;;
21;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
